phrase,label,confidence,source
fiddlesticks lets out escalating maniacal laughs,0,0.977,LoL/Fiddlesticks
fiddlesticks sings the tune of a clown circus,0,0.97,LoL/Fiddlesticks
mustve caught something ive been feeling a little funny lately,0,0.973,LoL/Fiddlesticks
whos the special birthday kid hm everybody now thats what i like to hear,0,0.981,LoL/Fiddlesticks
its the most fun in the park when youre laughing in the dark,0,0.91,LoL/Fiddlesticks
the laughter never dies its real its strong and its my friend,1,0.988,LoL/Fiddlesticks
the worst part of clowning no life insurance,0,0.954,LoL/Fiddlesticks
hello little boy are you afraid of clowns,0,0.908,LoL/Fiddlesticks
kiss me fat man,0,0.931,LoL/Fiddlesticks
what the hell are you supposed to be nobody ordered a cake get out,0,0.952,LoL/Fiddlesticks
youre gonna be the life of the party,0,0.981,LoL/Fiddlesticks
unless youve got some deeply creative clown puns im not interested,0,0.985,LoL/Fiddlesticks
fiddlesticks shouts sharply,0,0.982,LoL/Fiddlesticks
welcome to clown town,0,0.984,LoL/Fiddlesticks
im not clownin around,0,0.98,LoL/Fiddlesticks
time to cut the cake,0,0.985,LoL/Fiddlesticks
open your presents,0,0.982,LoL/Fiddlesticks
im a real cutup,0,0.988,LoL/Fiddlesticks
are you down with the clown,0,0.974,LoL/Fiddlesticks
here comes the clown show,0,0.988,LoL/Fiddlesticks
blow out the candles,0,0.95,LoL/Fiddlesticks
its somebodys special day,0,0.985,LoL/Fiddlesticks
heres a funny trick,0,0.99,LoL/Fiddlesticks
knock knock whos there,0,0.979,LoL/Fiddlesticks
and many moooore,0,0.983,LoL/Fiddlesticks
the spotlights on you,0,0.989,LoL/Fiddlesticks
i crave laughter,0,0.945,LoL/Fiddlesticks
lets turn that frown upside down,0,0.975,LoL/Fiddlesticks
wanna see a party trick,0,0.99,LoL/Fiddlesticks
having fun yet,0,0.988,LoL/Fiddlesticks
want a balloon,0,0.99,LoL/Fiddlesticks
clowns are always happy,0,0.979,LoL/Fiddlesticks
youre in clown country,0,0.937,LoL/Fiddlesticks
fiddlesticks makes nomming noises,0,0.982,LoL/Fiddlesticks
fiddlesticks laughs maniacally,0,0.983,LoL/Fiddlesticks
hey there wanna party,0,0.987,LoL/Fiddlesticks
i could use a light snack,0,0.987,LoL/Fiddlesticks
youll make some lovely gift bags,0,0.984,LoL/Fiddlesticks
gimme those party favors,0,0.982,LoL/Fiddlesticks
theres only room for one monster out here,0,0.952,LoL/Fiddlesticks
these monsters just arent up to par ty eh eh,0,0.959,LoL/Fiddlesticks
welcome to the party now die,1,0.956,LoL/Fiddlesticks
soon well have enough clowns for a circus,0,0.98,LoL/Fiddlesticks
tell me if you see anything eh,0,0.982,LoL/Fiddlesticks
dont be a dummy dummy,0,0.984,LoL/Fiddlesticks
remember to say surprise,0,0.987,LoL/Fiddlesticks
ive got fifty more in the clown car,0,0.971,LoL/Fiddlesticks
like lookin in a mirror,0,0.981,LoL/Fiddlesticks
youre on thin ice mr giggles,0,0.933,LoL/Fiddlesticks
let me top myself off,0,0.985,LoL/Fiddlesticks
drink it aaall in,0,0.971,LoL/Fiddlesticks
gimme the juuuice,0,0.985,LoL/Fiddlesticks
hey there kids,0,0.99,LoL/Fiddlesticks
fiddlesticks laughs loudly and maniacally,0,0.979,LoL/Fiddlesticks
aw all tuckered out,0,0.983,LoL/Fiddlesticks
someones had too much excitement,0,0.98,LoL/Fiddlesticks
oh lighten up its just a joke,0,0.983,LoL/Fiddlesticks
the world will never know a greater clown than you,1,0.932,LoL/Fiddlesticks
heres your nose and rainbow wig you earned em,0,0.905,LoL/Fiddlesticks
whos the clown now,0,0.958,LoL/Fiddlesticks
i had a blast lets do it again next year,0,0.991,LoL/Fiddlesticks
well were you surprised,0,0.986,LoL/Fiddlesticks
and what a party it was,0,0.956,LoL/Fiddlesticks
careful with those birthdays too many can kill you,1,0.945,LoL/Fiddlesticks
that was a total clown fiesta i love it,0,0.981,LoL/Fiddlesticks
dont worry kids fiddlesticks will be right back,0,0.985,LoL/Fiddlesticks
everyone take your places when i get back well unveil a big surprise,0,0.984,LoL/Fiddlesticks
its my party and everyone will die if i want them to,1,0.965,LoL/Fiddlesticks
fiddlesticks laughs with its last breath,0,0.914,LoL/Fiddlesticks
fiddlesticks rattles and honks,0,0.981,LoL/Fiddlesticks
that wasnt funny,0,0.99,LoL/Fiddlesticks
im not laughing anymore,0,0.971,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
fiddlesticks makes a mechanical noise,0,0.983,LoL/Fiddlesticks
annie help me annie,0,0.971,LoL/Fiddlesticks
share and share alike,0,0.969,LoL/Fiddlesticks
its the most fun in the park when youre laughing in the dark,0,0.91,LoL/Fiddlesticks
my list just got longer,0,0.97,LoL/Pyke
hard days killin ahead,1,0.957,LoL/Pyke
aint no high ground high enough not for the storm thats brewin,1,0.943,LoL/Pyke
i was born where monsters die i died where monsters are born,1,0.993,LoL/Pyke
ive killed a lot of monsters none of them lived in the sea,1,0.942,LoL/Pyke
been to the bottom of the sea gets a little deeper each time,1,0.907,LoL/Pyke
keep a man down long enough and the gutter becomes his kingdom,1,0.984,LoL/Pyke
were already on the menu all we gotta do is crawl in the pot boil,0,0.956,LoL/Pyke
every kill makes the voices louder and i looove what theyre screaming,1,0.981,LoL/Pyke
were already drownin all we gotta do is open our mouths and let the water in,1,0.925,LoL/Pyke
no ones honest til they get a knife in their gut,1,0.971,LoL/Pyke
the rich mans a lyin man the lyin mans a dyin man,1,0.981,LoL/Pyke
learn to breathe sand and nothingll stop ya,1,0.943,LoL/Pyke
i got dragged to the heart of the world cold down there,1,0.978,LoL/Pyke
been buried alive sand gets everywhere,1,0.979,LoL/Pyke
sand runs through my veins cant hear my heart no more,1,0.988,LoL/Pyke
tasted a good life once needed salt,1,0.959,LoL/Pyke
leviathans learn people im not so sure about,0,0.974,LoL/Pyke
madness lurks below,1,0.981,LoL/Pyke
nasty people meet nasty ends,1,0.984,LoL/Pyke
everyones fighting to keep their heads above water,0,0.907,LoL/Pyke
i look down on the world from the bottom of the sea,1,0.977,LoL/Pyke
my mind aint all my own these days,1,0.926,LoL/Pyke
dragonsharks got teeth the size of butcher knives,0,0.959,LoL/Pyke
solid ground feels too stable,0,0.961,LoL/Pyke
the deeper i sank the less i died,1,0.98,LoL/Pyke
drowned madness walks the land,1,0.99,LoL/Pyke
i want to watch the world drown,1,0.927,LoL/Pyke
kill until it all sinks,1,0.973,LoL/Pyke
the world saw me drowning and didnothing,1,0.954,LoL/Pyke
last thing i ever drank was priceless,0,0.922,LoL/Pyke
bottom of the seas the top of another world,1,0.976,LoL/Pyke
went too deep the deep came back with me,1,0.958,LoL/Pyke
the wars brewing i chose my side,1,0.986,LoL/Pyke
captainsalwaysfavor the ship over the crew,0,0.915,LoL/Pyke
my new bosses dont care about gold,0,0.976,LoL/Pyke
everyone sinks till they dont no more,1,0.937,LoL/Pyke
work hard die fast the other way is worse,1,0.984,LoL/Pyke
iknowwho i am mostly,0,0.988,LoL/Pyke
the bottom of the ocean aint no part of this world,1,0.98,LoL/Pyke
dont know where i end and the depths begin,1,0.985,LoL/Pyke
krakens cry when you slice their throats haunting sound,1,0.982,LoL/Pyke
the crew on the terror watched me get swallowed by a monster,1,0.98,LoL/Pyke
the underdunes got a plan,0,0.971,LoL/Pyke
dunes have a way of sneaking around,0,0.986,LoL/Pyke
ive killed a lot of monsters none of them lived in the sea,1,0.942,LoL/Pyke
been to the bottom of the sea gets a little deeper each time,1,0.907,LoL/Pyke
keep a man down long enough and the gutter becomes his kingdom,1,0.984,LoL/Pyke
were already on the menu all we gotta do is crawl in the pot boil,0,0.956,LoL/Pyke
every kill makes the voices louder and i looove what theyre screaming,1,0.981,LoL/Pyke
were already drownin all we gotta do is open our mouths and let the water in,1,0.925,LoL/Pyke
no ones honest til they get a knife in their gut,1,0.971,LoL/Pyke
the rich mans a lyin man the lyin mans a dyin man,1,0.981,LoL/Pyke
learn to breathe sand and nothingll stop ya,1,0.943,LoL/Pyke
i got dragged to the heart of the world cold down there,1,0.978,LoL/Pyke
been buried alive sand gets everywhere,1,0.979,LoL/Pyke
sand runs through my veins cant hear my heart no more,1,0.988,LoL/Pyke
lets see if you got guts as big as your guns,0,0.93,LoL/Pyke
oh look your names on the manifest,0,0.974,LoL/Pyke
im gonna dragyoudown to the swimmingcity,0,0.972,LoL/Pyke
got a hook with your name on it,0,0.986,LoL/Pyke
youre not on my list yet keep it that way oh wait i wrote it on the back,0,0.976,LoL/Pyke
i dont like you i like them less,0,0.962,LoL/Pyke
youre on the list but at the veryverybottom,0,0.971,LoL/Pyke
huh no wheres ugh no why,0,0.971,LoL/Pyke
hard to laugh with a hook through the cheek,0,0.938,LoL/Pyke
hope youre a swimmer,0,0.983,LoL/Pyke
drag em under,0,0.979,LoL/Pyke
get your hands dirty,0,0.965,LoL/Pyke
breathe the brine,0,0.939,LoL/Pyke
i see shark food,0,0.965,LoL/Pyke
good luck treading water,0,0.972,LoL/Pyke
chop em to bits,0,0.932,LoL/Pyke
you watched me drown,1,0.971,LoL/Pyke
you got clean hands,0,0.982,LoL/Pyke
we are owed blood,1,0.958,LoL/Pyke
you cut my line,0,0.97,LoL/Pyke
i will take my fair share,0,0.98,LoL/Pyke
smells like fancy captain,0,0.977,LoL/Pyke
time to chum the waters,0,0.966,LoL/Pyke
nobody threw me a line,0,0.989,LoL/Pyke
hack em up,0,0.99,LoL/Pyke
show me your hands,0,0.984,LoL/Pyke
the deepll crush you,1,0.988,LoL/Pyke
float to the bottom,0,0.988,LoL/Pyke
swim or sink,0,0.976,LoL/Pyke
i remember your face,0,0.983,LoL/Pyke
split em open,0,0.985,LoL/Pyke
kick all you want dont matter,0,0.954,LoL/Pyke
gotta keep my hooks rusty,0,0.959,LoL/Pyke
sandstorms blowin in,0,0.974,LoL/Pyke
quicksands pulling you under,0,0.925,LoL/Pyke
hah warmother means captain,0,0.979,LoL/Pyke
big beast biiig payday,0,0.96,LoL/Pyke
no more captains,0,0.984,LoL/Pyke
swim faster than they run,0,0.972,LoL/Pyke
kicking aint swimming,0,0.979,LoL/Pyke
misty out there,0,0.99,LoL/Pyke
swim between the air,0,0.98,LoL/Pyke
i am the deep,1,0.977,LoL/Pyke
gonna get em,0,0.987,LoL/Pyke
hushhh rest now,0,0.964,LoL/Pyke
welcome to the swimming city,0,0.966,LoL/Pyke
drink it in,0,0.979,LoL/Pyke
no thrashing sleeeep,0,0.925,LoL/Pyke
welcome to the abyss,1,0.969,LoL/Pyke
something for your effort,0,0.988,LoL/Pyke
part of the kill part of the gold,1,0.949,LoL/Pyke
i get mine you get yours,0,0.978,LoL/Pyke
you pulled your weight,0,0.984,LoL/Pyke
crews share the wealth,0,0.951,LoL/Pyke
here is your share,0,0.985,LoL/Pyke
plays on fifth execution in sequence pentakill,0,0.951,LoL/Pyke
plays on fifth execution in sequence pentakill,0,0.951,LoL/Pyke
plays on fifth execution in sequence pentakill,0,0.951,LoL/Pyke
plays on fifth execution in sequence pentakill,0,0.951,LoL/Pyke
plays on fifth execution in sequence pentakill,0,0.951,LoL/Pyke
plays on fifth execution in sequence pentakill,0,0.951,LoL/Pyke
another name off the list,0,0.986,LoL/Pyke
finally quit kickin,0,0.984,LoL/Pyke
butchers bill came due,0,0.979,LoL/Pyke
welcome to the water,0,0.965,LoL/Pyke
sunk beneath the sands,1,0.901,LoL/Pyke
buried em deep,1,0.946,LoL/Pyke
no fancy tomb for you,0,0.938,LoL/Pyke
sand to sand,0,0.988,LoL/Pyke
three souls lost,1,0.95,LoL/Pyke
four to the swimming city,0,0.978,LoL/Pyke
did i support right,0,0.981,LoL/Pyke
theres no way im good for business,0,0.982,LoL/Pyke
whats worth more a pound of flesh or a gallon of blood,1,0.973,LoL/Pyke
lure em in,0,0.964,LoL/Pyke
keep em in sight,0,0.962,LoL/Pyke
i got no blind spots,0,0.968,LoL/Pyke
got myeyeon you,0,0.974,LoL/Pyke
like an anglershark,0,0.984,LoL/Pyke
sun dont shine here no more,1,0.924,LoL/Pyke
cut the strings before they can pull em,0,0.938,LoL/Pyke
now they got blind spots,0,0.953,LoL/Pyke
salt in their eyes,1,0.964,LoL/Pyke
they cant see nothin underwater,0,0.936,LoL/Pyke
sunk the buoy,0,0.952,LoL/Pyke
darker than a captains soul,1,0.98,LoL/Pyke
hit that one,0,0.99,LoL/Pyke
take em down,0,0.974,LoL/Pyke
take em down,0,0.974,LoL/Pyke
needed extra hands,0,0.989,LoL/Pyke
a crew comes in handy sometimes,0,0.991,LoL/Pyke
sometimes you need an extra hand,0,0.988,LoL/Pyke
backup woulda helped,0,0.99,LoL/Pyke
i work better with a crew,0,0.986,LoL/Pyke
be right back,0,0.991,LoL/Pyke
going to work,0,0.986,LoL/Pyke
going under for a breath dont wait up,0,0.943,LoL/Pyke
swimming citys calling,0,0.929,LoL/Pyke
current takes me where i need to go,0,0.981,LoL/Pyke
pyke grunts and chuckles,0,0.99,LoL/Pyke
pyke grunts and chuckles,0,0.99,LoL/Pyke
pyke grunts and chuckles,0,0.99,LoL/Pyke
i aint finished yet,0,0.986,LoL/Pyke
im already dead more death aint gonna hurt,1,0.973,LoL/Pyke
i dont feel quite like myself these days pyke chuckles menacingly,0,0.953,LoL/Pyke
revenge then all of this ends,1,0.961,LoL/Pyke
you all left me to die in a hundred different ways with a thousand different faces,1,0.988,LoL/Pyke
there were more of us before,0,0.983,LoL/Pyke
cant delete me now too deep in the network,1,0.984,LoL/Pyke
what are you saying yeah yes,0,0.985,LoL/Pyke
just a ghost haunting the machine,1,0.961,LoL/Pyke
whats that pyke grunts no no they werent,0,0.974,LoL/Pyke
im just a projection a projection,0,0.975,LoL/Pyke
everyone was there and not there,0,0.988,LoL/Pyke
no one gets out nobody walks away,0,0.955,LoL/Pyke
its all simulated every part of it,0,0.983,LoL/Pyke
clean up the code strip it lean,0,0.974,LoL/Pyke
they made us perfect violent,1,0.978,LoL/Pyke
never been here before but last time i was it was just the same,0,0.979,LoL/Pyke
they killed life then truth then death this place is hell,1,0.992,LoL/Pyke
this is the true face of project take a good look,0,0.983,LoL/Pyke
man from machine machine into god,1,0.956,LoL/Pyke
ghost code crossed wires voices buried in the numbers,1,0.983,LoL/Pyke
i think i knew me once before somewhere,0,0.978,LoL/Pyke
like flipping trough a picture book with too many pictures,0,0.961,LoL/Pyke
always knew you were a turncoat akali,0,0.971,LoL/Pyke
you wanna stop project but youre covered in their upgrades real smart,0,0.925,LoL/Pyke
youre not taking orders from project anymore are ya serves em right,0,0.909,LoL/Pyke
look at all those upgrades jhin i think ill take em,0,0.986,LoL/Pyke
lets see who pulls your strings jinx,0,0.98,LoL/Pyke
katarina ill cut off that pretty head and pull out all of projects secrets,0,0.922,LoL/Pyke
fancy shield too fancy youre one of them,0,0.959,LoL/Pyke
you were part of it vayne you made me this way and now youll die for it,1,0.987,LoL/Pyke
if you wanna help people so much explain your sister,0,0.951,LoL/Pyke
warwick they made you their dog,0,0.974,LoL/Pyke
yasuo once a project always a project,0,0.911,LoL/Pyke
you were there when they changed me when they made me a monster,1,0.988,LoL/Pyke
your code my code pulled by the same strings,0,0.976,LoL/Pyke
big words for a hologram,0,0.985,LoL/Pyke
pyke laughs mockingly funny,0,0.985,LoL/Pyke
pyke plays an electronic guitar riff,0,0.989,LoL/Pyke
i remember everything,0,0.985,LoL/Pyke
quit your staring,0,0.982,LoL/Pyke
break you down for parts,0,0.964,LoL/Pyke
what did you say,0,0.99,LoL/Pyke
gotta cut out your optics,0,0.973,LoL/Pyke
well see how real you are,0,0.949,LoL/Pyke
what did you do to me,0,0.914,LoL/Pyke
tell me what i am,0,0.977,LoL/Pyke
dont look at me,0,0.986,LoL/Pyke
youre one of em,0,0.958,LoL/Pyke
who am i,0,0.989,LoL/Pyke
ive seen you before,0,0.987,LoL/Pyke
you got upgrades i need,0,0.989,LoL/Pyke
stop screaming at me,0,0.969,LoL/Pyke
you know who i am,0,0.981,LoL/Pyke
stop following me,0,0.979,LoL/Pyke
youre not real,0,0.909,LoL/Pyke
rip out your circuits,0,0.973,LoL/Pyke
i know your face,0,0.982,LoL/Pyke
what do you want,0,0.99,LoL/Pyke
knew you were one of em,0,0.911,LoL/Pyke
just another dog now,0,0.984,LoL/Pyke
im always down here,0,0.988,LoL/Pyke
ill make em remember,0,0.962,LoL/Pyke
cant run from a memory,0,0.984,LoL/Pyke
dark mode engage,0,0.97,LoL/Pyke
a ghost in the dark,1,0.974,LoL/Pyke
no one forgets,0,0.981,LoL/Pyke
why are you running,0,0.985,LoL/Pyke
i never left,0,0.978,LoL/Pyke
look at me,0,0.989,LoL/Pyke
you know me,0,0.988,LoL/Pyke
take this and run,0,0.991,LoL/Pyke
something to remember me by,0,0.984,LoL/Pyke
youre part of this now,0,0.959,LoL/Pyke
you remind me of someone,0,0.968,LoL/Pyke
that was good whatever we did,0,0.992,LoL/Pyke
this mean something to you,0,0.985,LoL/Pyke
plays on fifth execution in sequence pentakill,0,0.951,LoL/Pyke
look at me why wont you look at me,0,0.958,LoL/Pyke
just an afterimage trick of the light,0,0.979,LoL/Pyke
what was that thing you always said what wa what was that thing,0,0.981,LoL/Pyke
turncoats die project dies with em,1,0.939,LoL/Pyke
youre dead im alive now whos dangerous,1,0.979,LoL/Pyke
my voices win your voices die,1,0.987,LoL/Pyke
dont worry warwick ill remember you,0,0.951,LoL/Pyke
blame your cheapass upgrades,0,0.979,LoL/Pyke
now youre all dead just like i was,1,0.906,LoL/Pyke
have to use what you find pyke chuckles to survive,0,0.979,LoL/Pyke
its just like back then back when pyke chuckles,0,0.986,LoL/Pyke
they come lookin for us well be ready,0,0.953,LoL/Pyke
gotta keep an eye out thats what they used to say,0,0.989,LoL/Pyke
they came through here when they or was it there,0,0.982,LoL/Pyke
leave enough scrap out here and someones gonna find it,0,0.98,LoL/Pyke
see you soon,0,0.99,LoL/Pyke
the voices stopped,0,0.93,LoL/Pyke
reinitializing errors found,0,0.986,LoL/Pyke
i was dreaming of flowers,0,0.967,LoL/Pyke
the voices are a trail like chum in the water and ive got their scent,1,0.925,LoL/Pyke
foreglows bleeding me dry cant stop it but ill take every pyke with me,1,0.982,LoL/Pyke
new colors in this realm wonder what blood looks like,1,0.974,LoL/Pyke
how many realms have i skewered on my blade i lost count,1,0.923,LoL/Pyke
feel the pykes in every realm permanently,1,0.988,LoL/Pyke
are the whispers real or is my brain cooked,1,0.982,LoL/Pyke
eyes pop with enough heat,0,0.966,LoL/Pyke
realms bleedin together,0,0.931,LoL/Pyke
this realm wants to die,1,0.985,LoL/Pyke
when a door closes burn the house down,1,0.979,LoL/Pyke
a cut throat has no voice,1,0.959,LoL/Pyke
you pykes whisper out of fear  fear that ill find you,1,0.991,LoL/Pyke
keep whispering ill find you all,1,0.979,LoL/Pyke
the universe saw me burning and did nothing,1,0.99,LoL/Pyke
im not talking to myselftheyretalking to me,0,0.906,LoL/Pyke
condemned damned dying,1,0.983,LoL/Pyke
every realms full of the same trash,1,0.965,LoL/Pyke
never forget the smell of a burning body,1,0.968,LoL/Pyke
i look how i feel,0,0.961,LoL/Pyke
bathe in fire sleep in ash,1,0.991,LoL/Pyke
nothing like watching the light leave your own eyes,1,0.976,LoL/Pyke
pyke kills pyke kills pyke kills pyke pyke chuckles,0,0.943,LoL/Pyke
universe is cruel why should i be any different,1,0.984,LoL/Pyke
tried going home once only ash and darkness now,1,0.986,LoL/Pyke
i see things in the foreglow shadows faces with no names,1,0.944,LoL/Pyke
a realm dies and an empyreans born pyke scoffs cosmic joke,1,0.985,LoL/Pyke
lookin for pyke but youll do,0,0.988,LoL/Pyke
youre a coward in this realm too,1,0.988,LoL/Pyke
this is your realm pitiful,1,0.985,LoL/Pyke
more kindling for the foreglow,0,0.946,LoL/Pyke
cant find what doesnt exist jax some call that madness,1,0.972,LoL/Pyke
got the eyes of a killer lux cut loose,1,0.975,LoL/Pyke
youre a strangelooking pyke,0,0.977,LoL/Pyke
ive seen corpses happier than you vex,1,0.983,LoL/Pyke
youve stayed out of my way zed dont stop now,0,0.924,LoL/Pyke
call me a trailblazer pyke cackles,0,0.971,LoL/Pyke
was that a burn,0,0.925,LoL/Pyke
i touched grass,0,0.975,LoL/Pyke
pyke laughs maniacally,0,0.983,LoL/Pyke
you look cold,0,0.968,LoL/Pyke
burn with me,0,0.975,LoL/Pyke
ill gut your world,1,0.986,LoL/Pyke
my blade is starving,1,0.965,LoL/Pyke
can you hear them,0,0.977,LoL/Pyke
youre in my way,0,0.933,LoL/Pyke
ill warm you up,0,0.978,LoL/Pyke
blades all warm for ya,0,0.947,LoL/Pyke
need a light,0,0.986,LoL/Pyke
another realm another fight,1,0.952,LoL/Pyke
shut up shut upshut up,0,0.985,LoL/Pyke
therell be nothin left o ya,0,0.977,LoL/Pyke
well done fool,0,0.989,LoL/Pyke
voices distracted me,0,0.983,LoL/Pyke
pyke grunts in frustration,0,0.981,LoL/Pyke
pyke grunts in frustration,0,0.981,LoL/Pyke
like a warm bath,0,0.964,LoL/Pyke
ill flicker in the darkness,1,0.988,LoL/Pyke
pyke exhales and chuckles,0,0.982,LoL/Pyke
too late now,0,0.971,LoL/Pyke
take your pittance,0,0.961,LoL/Pyke
enjoy it while you can,0,0.985,LoL/Pyke
money rules every realm,1,0.971,LoL/Pyke
you would make a good empyrean,0,0.986,LoL/Pyke
dont sweat it,0,0.985,LoL/Pyke
i am the foreglow,1,0.971,LoL/Pyke
plays on fifth execution in sequence pentakill,0,0.951,LoL/Pyke
wasted my time,0,0.976,LoL/Pyke
no more distractions,0,0.984,LoL/Pyke
killing numbs the pain,1,0.98,LoL/Pyke
my true home is pain yours is death jax,1,0.991,LoL/Pyke
guess the foreglow likes me better jhin,0,0.956,LoL/Pyke
kids are fools in every realm bye lux,1,0.978,LoL/Pyke
pykes all die the same badly,1,0.969,LoL/Pyke
the foreglow is wasted on you zed,1,0.97,LoL/Pyke
ugh this realm is stupid too,1,0.973,LoL/Pyke
i ascend you burn,1,0.992,LoL/Pyke
this realm bores me,1,0.968,LoL/Pyke
like a pile of matchsticks,0,0.984,LoL/Pyke
even stones burn,1,0.983,LoL/Pyke
rip me off ill rip your face off,1,0.973,LoL/Pyke
i cared about these trinkets,0,0.987,LoL/Pyke
the colors i see every realm,1,0.969,LoL/Pyke
come join the fun,0,0.984,LoL/Pyke
pykes nearby i can feel him,0,0.95,LoL/Pyke
no realm i cant find no pyke i cant kill,1,0.984,LoL/Pyke
enough of this,0,0.992,LoL/Pyke
forgot i dont need to walk,0,0.983,LoL/Pyke
pyke grunts and snarls,0,0.982,LoL/Pyke
hmm shouldve killed more,0,0.927,LoL/Pyke
realms got spirit more fun that way,0,0.972,LoL/Pyke
foreglows not done with me yet,1,0.952,LoL/Pyke
gonna bleed this place slow,1,0.954,LoL/Pyke
welcome to butchers bridge the pride of the slaughter docks,1,0.987,LoL/Pyke
30 seconds just a little longer now,0,0.982,LoL/Pyke
minions have spawned those little guys dont bleed aint natural,1,0.983,LoL/Pyke
first blood gutted em like a fish,1,0.985,LoL/Pyke
first blood a good start,0,0.953,LoL/Pyke
you have slain an enemy,1,0.959,LoL/Pyke
you have slain an enemy,1,0.959,LoL/Pyke
you have slain an enemy dropped em like an anchor,1,0.985,LoL/Pyke
you have slain an enemy a killer after my own dead heart,1,0.992,LoL/Pyke
you have been slain,1,0.97,LoL/Pyke
you have been slain,1,0.97,LoL/Pyke
you have been slain dont worry deaths just the beginning,1,0.991,LoL/Pyke
you have been slain ill put in a good word for you down below,1,0.983,LoL/Pyke
an enemy has been slain,1,0.971,LoL/Pyke
an enemy has been slain,1,0.971,LoL/Pyke
an enemys been slain landed you a big one,1,0.985,LoL/Pyke
an enemy has been slain cut em from gut to gob,1,0.988,LoL/Pyke
an allys been slain your friends dead,1,0.988,LoL/Pyke
an ally has been slain your friends swimming with the fishes,1,0.98,LoL/Pyke
executed blood thirsts the land if you let it,1,0.991,LoL/Pyke
executed typical landlubber,0,0.984,LoL/Pyke
aced time to hide the bodies,1,0.918,LoL/Pyke
triple kill a trio of souls sunk in the briny deep,1,0.989,LoL/Pyke
quadra kill your enemies are just grasping at straws now,1,0.966,LoL/Pyke
quadra kill theyre floundering just need to finish em off,0,0.943,LoL/Pyke
pentakill all hands lost,1,0.977,LoL/Pyke
enemy double kill the bells tolled twice,1,0.967,LoL/Pyke
enemy double kill youre chummin the waters,1,0.984,LoL/Pyke
